prod|title|author|date|review_format|stars|comments|review_ids|link_id|n_helpful
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"I would buy this for every pregnant mom i know if i could afford it!
            "|SaucyKatLady|August 31, 2018|Verified Purchase|5|"I LOVE LOVE LOVE this play gym. It is extremely well made, it breaks down to be compact for storage, it is beautiful and it is clever. The Parents cards come with milestone reminders and suggestions on how to help your baby meet those milestone through the gym and how to get your $$ worth. It truly is designed for your childs development from 0-12mths.You can also machine wash the base!!!!I did not do my research and put an infantino play gym on my registry. It also claimed to ""grow with your child"" because it was a turtle that could turn into a ball pit. It was cute but then i realized I hated how it looked. I couldn't just fold it and put it away. My baby seemed to out grow in in weeks. You couldn't machine wash the base. So we stopped using it and after weeks of kinda begging my husband (i think my baby was 4-5 mths by then) we splurged.We gave away our first play gym and we sold our activity center. This is all my baby needs.Also you have to check out the LOVEVERY monthly development boxes which are just as beautiful and goes along perfectly with the gym in quality and learning. Again wish I got those sooner but they were just released a month ago.
            "|R32SN7K8BTHKFO|AE7IY7TFOAPN7ZFU34YTGFMVX2CQ|25
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Far superior to other play gyms in many ways. Very versatile!
            "|Brittany Q.|August 11, 2018|Verified Purchase|5|"Absolutely beautiful, well crafted, and well-designed play gym. The wooden frame is sturdy and smooth. The 3 hanging toys connect with Velcro so you can attach different toys very easily. The flaps on the edges are very well thought out. I especially like the ""hide and seek"" pocket flap because you can add your own toys/items for baby to discover. The stand up portion for cards is very nice. It includes a mirrored card that baby loves. We were excited to find that a set of high contrast animal cards we received as a gift fit into the slots perfectly, making this even more versatile.I really didn't want to pay full price for this but I gave in and I'm so glad I did. It is far superior to other play gyms on the market and will last us a very long time. No regrets!
            "|REVAZYVQO534W|AHE2NBZ6GZCFMINFE4OFJ2YBNVBQ|22
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"As a mom I love that it’s durable
            "|Selena Hodges|November 26, 2017|Verified Purchase|5|"We are loving The Play Gym! As a mom I love that it’s durable. It’s not just foam bars that collapse and mush down anytime my three year old is around. The fabrics are soft and colorful.  I love the bars up high because as my baby gets older and is sitting we can still use the gym, because he will still fit under it. Most play gyms are done after they outgrow tummy time.  My kids are all loving the little tent that comes with it, another reason it will grow with my baby. My eight year old is loving going through the activity cards with the baby. They give us lots of info on milestones and different activities to do with the baby.  We leave it out 90%of the time. But it can be taken apart and put away for storage if needed. It just won’t pop back up like a foam one would.My little guy is five months old right now and enjoying tummy time in front of the high contrast cards and mirrors. But it comes wh other fun cards to easily swap out for as they develop. We are still discovering all the other fun flaps it comes with too. I feel like this is an investment piece and will last a long time for more than one baby. And those are the kinds of baby items I like the best!
            "|RZ3YADOHKZB4F|AECH5IMTEBIA5H7VRPG6Y74AY4QA|37
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"GET THIS MAT! Meaningful Play with your LO
            "|Amanda T.|November 12, 2018|Verified Purchase|5|"I just had to have this gym for my newborn! I love it’s durability and how easy it is to put together. I love that it gives me tasks to do with him to help his development. I’m going back to work soon (only 6 weeks after delivery) and love that I will have meaningful ways to play with my baby when my time is limited.They have a subscription box too that I want, but being out of work right before the holidays has prevented me from getting it for him.
            "|R27NSLAQHQ00PP|AH4UGJGBW3O6QYQI5RPGVTTO4WFQ|25
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Great developmental toys
            "|Allison|January 30, 2018|Verified Purchase|5|"Love this baby gym. I was going to buy some new toys for baby number 3 and found this baby gym online. I really liked it and it had amany of the tips that I planned to buy plus the tent feature. I decided to get this for him for Christmas. He was 4 months at the time. We have got a lot of use out of it already, the mat itself is very high quality and the wooden support frame is really nice.  It's sturdy enough to support heavier toys without worrying that it might collapse. I had a couple issues with the tent and the straps that hold the toys to the frame. I contacted the company and they were so kind and responsive.  They sent replacement parts and their customer service exceeded my expectations. I hope they come out with other products. I would gladly order from them again. All the items were of very high quality and will grow with my child. For reference my tall 4 year old can sit in the tent with his baby brother so we will get many more years of use from this product. My one complaint would be that the product images show a wooden teether ring with a fabric tied on and I got a silicone one instead of the wooden ring. Love everything else about it
            "|RM2Y1OTXW76GN|AHLYELUY546V6GG4IODPTWWXYKEA|26
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Love this play gym!
            "|dani|August 14, 2018|Verified Purchase|5|"We got this when my son was 6 weeks old. At that age we used the black and white cards and I was surprised to see how he could focus on them and track them. Now that he is almost 6 months he enjoys laying on his back and batting the dangling toys. The wooden toy with the bell is his favorite! The card holder is great for displaying the cards and allowing baby to touch without ruining them. There is a good variety of subjects on the cards and these are fun to go through with your baby. This is the only baby item I have that continues to keep my little guy happy, hold his attention, and he never complains when I set him on it. The gym is also very nice looking. It really looks like a high quality item. I like the soft colors with splashes of brighter ones and the strong wooden frame. I have washed the mat twice and it has held up perfectly. We love this play gym!
            "|R3TS1LOBTR7OBX|AHVBMYUCSE2NCNF4GTXDEP4BNBCQ|22
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"high-quality materials, easy to put together, and pleasing design
            "|BeaconTown Deac|December 10, 2017|Verified Purchase|5|"We bought this gym for our third child and are so excited we did.  We wish we had it for the other two.  It is made of high-quality materials, easy to put together, and has a pleasing design. The mat is super soft and padded, with other mats we always had to put something under it. This works great even on hardwood floors. All the ""entertainment"" areas are great and will grow with the baby, so we won't just throw it away in a few months. Great job Lovevery Baby, this is the best baby playmat money can buy. We will recommend to our friends.
            "|RWXI434Q7SU7M|AE4KRQP6VCII5SXZ6DVE6RMG2BXA|27
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Must have for your newborn! Effective and stylish! Win-win!
            "|Alexz Talbot|September 17, 2018|Verified Purchase|5|"My 3 month old loves this playgym! I’ve been using it since the moment I received it and it’s useful from the youngest of ages. I’m so excited to continue using it and utilize more of it last features. The cards and mirrors that are interchangeable are so nice! When he gets bored I just change them out and capture his interest again. I also love the design of this playmat. I wanted something that would not be an eyesore like so many baby objects are with the loud colors and obnoxious plastic objects everywhere. The wooden poles are stylish and safer than plastic, the mat is white and subdued with just enough color. It’s easy to clean and take care of. This is a must for every new baby!
            "|RXXLJAIGUL3YE|AGIK6TJOPTEEMCC3EWYTEEP34DNA|21
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"This is a legit play gym
            "|Scout|August 11, 2018|Verified Purchase|5|"We bought this for baby #2 because this wasn’t around when we had our first. We’ve had other play gyms that are popular and cheaper but none of them compare to this one! I fell in love with the packaging alone. The materials are so well made. The activity book is so great and can really give new parents a better idea of how to help baby learn and grow in those earlier months. The mat is super durable. The canopy is so cute and purposeful (I didn’t even consider how it can helps guide forward movement). My toddler is infatuated with this, too, and I completely understand why. This is such a well thought out play gym and it’s worth every dollar.
            "|R1QVDS0IXSWZ5U|AF3GE63BVBJOGQIPZKSWACVYXZFA|20
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"We are very happy with this product
            "|Anonymous|December 7, 2017|Verified Purchase|5|"We are very happy with this product. We have received multiple complements on it and have had two friends purchase it after seeing it (and having their kids play with it) in our home.A few of the things we like...Space: I love that there is space on the mat for our 10 week old to be able to rotate 360 degrees (with our help) to interact with the cards and hanging pieces from different angles.The fabric: It is good looking! It is also soft and has been very easy to spot clean (spit up).Play guide: The book is so incredibly helpful! It is great knowing that I have an evidence based quick reference when it comes to how to engage my baby in play/mental stimulation.This play gym is more expensive than others, but it does feel like one of those baby items that is actually worth the cost.This would be a great baby shower gift. It would also be super useful to have at the grandparent's house. ;)
            "|R3KFH7OTGV5BAE|AGK3UTM3KLCBA6KBAD7PYRVCA6TQ|23
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"We love the new playgym
            "|Michele Moore|January 9, 2018|Verified Purchase|5|"We love the new playgym! We had a rainforest playmat and the 11 week old baby wanted nothing to do with it...too many toys and loud noises. We thought we would give the Lovevery one a try...and he loves it! Simple design and he’s not overwhelmed...his big brothers go in it and play with him, show him the cards etc...it’s a lot of fun for us all. Plus we are learning what he will like at what stages. I’m really happy we decided to get this one...worth the money! We wish this company would make other things too! So well thought out and designed...:)
            "|R1O7JOKBI1NPKA|AEUCAV2L5QMAYB7BUEBMVMGLWCQA|23
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"I absolutely love this play gym and would highly recommend it
            "|Cara|December 1, 2017|Verified Purchase|5|"As a mom of two, an 8 month old and a 2.5 year old, I absolutely love this play gym and would highly recommend it. I wish we would have had this earlier. Our 8 month old loves the wooden rattle and bell, the mirrors, and the teething toys. She moves from one activity to another and is entertained for quite a while! Our 2.5 year old loves turning it into a tent and plays in her fort for hours at a time. Great play gym for all ages!
            "|R2PXOBEEEXO4GJ|AGRVI7TGPYDXFGGKNO5CQSSNFKWA|28
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Gorgeous, sturdy, and developmentally sound!
            "|Sarah|September 27, 2018|Verified Purchase|5|"I absolutely love this play gym! It is everything I wanted and very solidly made. It is a good looking piece as well - nice enough to leave out most of the time.The best part of this gym is the activity booklet that comes with it. It tells you how to use the gym at each age/developmental level. My almost 3-month-old loves to kick the “sounds” zone and the hanging bell to hear the noises. He also loves to look at the Montessori ball as it swings or look at the black and white pattern cards during tummy time. Tummy time used to be his least favorite activity, but this gym has made it a little more bearable for him!If you are looking for something that is easy to take out and put away, this may not be your best option. You have to completely dismantle the top hinge and take out the wooden rods. When disassembled, it does store nicely, but it just isn’t as quick as the play gyms with the flexible rods (though the wooden rods are much sturdier and the setup seem safer than the “pop-up” type gyms).My ONLY complaint is that the material the the top of the mat is made of seems to be a magnet for hairs and lint. My kiddo was wearing black fleece pants on it and it is now covered in hard-to-remove fuzzies (not easily just brushed away). You may want to invest in a lint roller as well, especially if you have pets!Overall, I’d definitely recommend this play gym to others, despite the higher price point. It is definitely worth it! :)
            "|R298Q98AU7DVK|AFUWLDCZ77NUGO2YNMUWAJUPOSBQ|17
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"I highly recommend!
            "|Danielle|October 19, 2018|Verified Purchase|5|"I have been very happy to see my 4-month-old exploring this gym with smiles and coos over the past few months. I only wish I had this gym with my older child. I love the way it captivates my baby’s attention with strong color contrasts, interchangeable photo cards, and fabric for her to grab and pull. Information cards on development also come with the gym and I have found this to be helpful in giving me ideas for fun interaction with my baby.I highly recommend! The Lovevery Company also has a subscription service that sends a small box of age-appropriate toys to your doorstep. Like the gym, all the toys are made with non-toxic materials, high quality, and promote development.
            "|R2XZ7JJXABSQ6Y|AHCCSREZGTAQFRO5RXCJZLJN2GBQ|18
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Great all around!
            "|Paul &amp; Sarah|October 21, 2018|Verified Purchase|5|"I absolutely adore this play gym. The colors are bright without being obnoxious. The quality is the wooden toys, the fabric, and the design is top notch. I appreciate the fact that this comes with guidance for your baby’s developmental stages and how to use the play gym with them. They’ve really thought of everything... except how to make this a little easier to tuck out of the way when not in use. The gym itself comes apart easily, but I would like a bag or something to put it in with the mat, the toys, and the booklet so I don’t have to keep the box... just something a little more convenient.
            "|R1QQ19X79OD8GV|AENJOKVV37SV2MPUEVTMWTZ3JN5Q|17
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Lots of features to grow into!
            "|KMK|November 20, 2017|Verified Purchase|5|"Our 7 week old is enjoying this play gym for tummy time!  The frame is very solid and the mat is soft and easy to clean.  She's just beginning to look at the high contrast cards and the black and white ball.  We like that this play gym has features that she'll grow into and a detailed guide with activities, exercises and games for the entire first year (divided into 0-12 weeks, 3-4 months, 5-6 months, 7-8 months, 9-10 months, 11-12 months).
            "|RBXGVHTP1ISW6|AFJURA2S3P364YUMYXJV2UBCVV3A|27
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Twins love it. We have used it daily since 8 weeks old. Babies are now 5 months.
            "|Kori F|October 29, 2018|Verified Purchase|5|"I have twins.  I wanted something that would help them develop and work on their milestones. This is hands down the best thing I could have bought. It's very high quality and we will keep it for years and use it for our future babies.  I know the price tag seems high, but it is significantly so much better than some of the plastic ones with light up toys.  Buy this you and your baby will love it!
            "|R18WYFOG5KQ0J1|AFZL3KHEORMFHTLKCM7UTVFQ7TGQ|21
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Great quality play gym!
            "|Michael Elliott|November 5, 2018|Verified Purchase|5|"This product is very nice! The quality is so good and I love that it grows with baby! The mat is very soft, and great for baby to do tummy time on! It comes with different cards based on babies age group for baby to focus on and learn. I would highly recommend this play gym for your baby!
            "|R1FX67EKG2MPIH|AEMCDL6GGCD57U63LUGXFO6WLNOQ|22
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Love this play gym!
            "|Ric|August 29, 2018|Verified Purchase|5|"Not only is it aesthetically pleasing for the parents, it's attractive and interactive for our little guy.  We got it when he was about a month old.  We held off about a month after he was born to see if someone would buy it for us off our registry, and no one did... (big eye roll), so we sucked it up and bought it for ourselves.  We use it for tummy time, as well as for back time for our 4 month old to swat and grab for things.  He's teething, and he loves the silicone teethers.  We take them with us when we leave the house too!  I love that it grows with them and becomes a tent for them when they are older!  Not to mention it's cute, and not fussy or tacky looking!  Had to email them about something, and they were prompt and went above and beyond!  Love this company and this product!  We will be buying the play kits off their site too - can't wait to see him play with all of it!
            "|R2M32JRUFRHXE|AF33VGDZHRTP5Z3WI2LN5CW5IN4A|17
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Definitely recommend, even for anti-baby toy babies ;)
            "|Shelby B|February 18, 2018|Verified Purchase|5|"Very high quality product! I love how simple it is yet still stimulating for baby. My little guy pretty much hates all things baby and he's starting to come around to this (finally!).I would highly recommend it, they did a great job with this product.
            "|RND4UTCP0ZKOI|AFAHGG7Y4THUSYNZXLPJ7XYKTGEQ|23
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Its worth the price!!
            "|Amazon Customer|October 6, 2018|Verified Purchase|5|"Love this so much!!! It took me a while to hit the buy button on this one. Really didn't want to spend the $140. However, I am so glad I did. Baby loves it. She spends so much more time on her tummy on this mat. She pulls on the little tabs and loves the baby pictures that come with it. We put on the play fort today and she was so excited. She loves being inside. She sat in there on her own for a while. I love the wooden toy, its so well made and she loves to tug at it or hit it with her feet. The two teething rings that come with it are also a big hit. If you do the math, teething rings x 2, well made wooden toy, Montessori ball, play mat, and play fort feature, pictures and activity book.  All these separately would cost you either the same or more. Currently thinking about purchasing their play kits. Highly recommend!!
            "|R3HH27BOMEE69T|AHFJLJZTIQGLK4BTAATIXSJ3PCCQ|17
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Takes the guess work out of infant play.
            "|Amazon Customer|August 13, 2018|Verified Purchase|5|"I registered and received another play gym but purchased this because I love that its made with a baby's development in mind and not just what looks cute. My baby boy now 3 months loves to look at the high contrast images and swat at the high contrast ball. Perhaps the best part about this play gym is that it comes with a book that shows parents age appropriate ways to play with their children. So when you're sleep deprived (which you will be) and wondering what to do with your little one, this activity gym comes to the rescue.
            "|R2TT11I2AT9I2O|AH45KGHGUPDKIAITAQSWDROPSKNA|17
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"The best gift I could give my god-daughter!
            "|Erin Corey|October 4, 2018|Verified Purchase|5|"I had heard about this product from some friends and checked out the Lovevery site. The imagery on their site, the quality of the materials they use, their overall mission statement (to help newborn brain development), and the fact that all of their products are backed by child development experts led me to purchase this for my newborn goddaughter. She's already starting tummy time on the play gym, looking at the black and white cards, and staring up at the hanging toys! The quality of the play gym is outstanding! I couldn't be more proud to be her godmother, but one that is looking out for her best interests, her early development, and her learning!
            "|R358FHWKEYX94W|AHEK5DLVP4XYALEQWWBP37OFFAFA|17
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Loving our Lovevery Play Gym!!!
            "|Amazon Customer|September 18, 2018|Verified Purchase|5|"We've been using this play gym since our little one was a few weeks old! Unlike many other play mats it is sturdy and durable, there are multiple items I've walked out of the room for a minute only to return and find our other fabric/mesh ""tee-pee"" play gym toppled over on the baby! He is now enjoying being able to reach the toys and use it for tummy time to look in the mirror and at the contrasting photos. We love that Lovevery is a local brand and are excited about the new monthly box subscriptions they are now offering. High quality, machine washable and highly recommended. :)
            "|RAH7Y7WV6OFZL|AFC4WSOCULVCY2HNOIXLWE5JRO2A|17
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Boring
            "|Marie K|February 1, 2019|Verified Purchase|1|"My daughter is currently 8 months and we've had the gym since she was born. I bought this play gym based on the fantastic reviews, the variety of stimulation activities and the modern look. However, it's the most boring play gym on this planet. My daughter had zero interest in the gym. The ball didn't even excite her. The mirror may be the only thing that caught her attention otherwise, she didn't like it at all. She loved her very colorful play gym we received as a gift. I still try to get her to use the Lovevery Play gym b/c it was so expensive, but again ZERO INTEREST.
            "|R38OJV323UPEEC|AGCHR4ZLCRIWQPF7OMJ6VSL7BMDA|17
